,Date,Count,WeekDate,WeekCount
316,2015-10-11,12707.0,2015-10-05,57323.0
317,2015-10-12,5727.0,2015-10-12,59729.0
318,2015-10-13,5743.0,2015-10-12,59729.0
319,2015-10-14,10300.0,2015-10-12,59729.0
320,2015-10-15,4707.0,2015-10-12,59729.0
321,2015-10-16,11677.0,2015-10-12,59729.0
322,2015-10-17,9835.0,2015-10-12,59729.0
323,2015-10-18,11740.0,2015-10-12,59729.0
324,2015-10-19,5320.0,2015-10-19,59905.0
325,2015-10-20,5128.0,2015-10-19,59905.0
326,2015-10-21,10538.0,2015-10-19,59905.0
327,2015-10-22,3864.0,2015-10-19,59905.0
328,2015-10-23,14880.0,2015-10-19,59905.0
329,2015-10-24,2980.0,2015-10-19,59905.0
330,2015-10-25,17195.0,2015-10-19,59905.0
331,2015-10-26,5714.0,2015-10-26,57491.0
332,2015-10-27,3189.0,2015-10-26,57491.0
333,2015-10-28,8937.0,2015-10-26,57491.0
334,2015-10-29,12230.0,2015-10-26,57491.0
335,2015-10-30,10155.0,2015-10-26,57491.0
336,2015-10-31,7892.0,2015-10-26,57491.0
337,2015-11-01,9374.0,2015-10-26,57491.0
338,2015-11-02,5976.0,2015-11-02,57579.0
339,2015-11-03,10587.0,2015-11-02,57579.0
340,2015-11-04,7281.0,2015-11-02,57579.0
341,2015-11-05,4957.0,2015-11-02,57579.0
342,2015-11-06,12786.0,2015-11-02,57579.0
343,2015-11-07,3578.0,2015-11-02,57579.0
344,2015-11-08,12414.0,2015-11-02,57579.0
345,2015-11-09,7035.0,2015-11-09,68477.0
346,2015-11-10,5975.0,2015-11-09,68477.0
347,2015-11-11,6542.0,2015-11-09,68477.0
348,2015-11-12,7698.0,2015-11-09,68477.0
349,2015-11-13,7749.0,2015-11-09,68477.0
350,2015-11-14,19061.0,2015-11-09,68477.0
351,2015-11-15,14417.0,2015-11-09,68477.0
352,2015-11-16,9649.0,2015-11-16,71835.0
353,2015-11-17,9585.0,2015-11-16,71835.0
354,2015-11-18,10696.0,2015-11-16,71835.0
355,2015-11-19,8385.0,2015-11-16,71835.0
356,2015-11-20,12585.0,2015-11-16,71835.0
357,2015-11-21,6566.0,2015-11-16,71835.0
358,2015-11-22,14369.0,2015-11-16,71835.0
359,2015-11-23,14355.0,2015-11-23,69843.0
360,2015-11-24,10026.0,2015-11-23,69843.0
361,2015-11-25,3359.0,2015-11-23,69843.0
362,2015-11-26,7373.0,2015-11-23,69843.0
363,2015-11-27,9667.0,2015-11-23,69843.0
364,2015-11-28,10672.0,2015-11-23,69843.0
365,2015-11-29,14391.0,2015-11-23,69843.0
366,2015-11-30,5202.0,2015-11-30,43679.0
367,2015-12-01,4257.0,2015-11-30,43679.0
368,2015-12-02,4213.0,2015-11-30,43679.0
